name,display_name,description,count,exclusive,ancestry,childTags
free-sacrifice-outlet,free sacrifice outlet,,91,0,['sacrifice-outlet'],[]
sweeper-creature-destroy,sweeper-creature-destroy,,91,4,[],[]
untapper-land,untapper-land,,91,1,[],[]
regrowth-self,regrowth-self,,93,0,"['card-advantage', 'regrowth', 'recursion', 'regrowth']",[]
freeze,freeze,A permanent doesn't untap during its next N untap steps.,95,2,[],['freeze-creature']
synergy-commander,synergy-commander,,95,1,[],[]
synergy-planeswalker,synergy-planeswalker,,95,2,[],[]
bounce-self,bounce-self,,96,2,[],[]
punisher,punisher,Effects that give you a choice of two damnations.,96,0,['dilemma'],[]
unblockable,unblockable,,96,0,['evasion'],[]
shade-pump,shade pump,Effects that give an arbitrary amount of +1/+1 until end of turn. See also [firebreathing] in red and [armoring] in white.,97,10,[],[]
theft-cast,theft-cast,,97,0,"['control-changing-effects', 'theft']",[]
synergy-red,synergy-red,,98,1,[],[]
sweeper-one-sided,sweeper-one-sided,"Sweepers that are, or have high potential to be, one-sided.",99,2,[],[]
synergy-black,synergy-black,,99,2,[],[]
curiosity,curiosity,Draw cards when dealing damage to an opponent,100,0,"['card-advantage', 'draw', 'saboteur']",[]
mill-any,mill-any,,100,0,['mill'],[]
quick-equip,quick equip,Non-Equip abilities that attach equipment.,101,2,[],[]
shapechange,shapechange,"Set creatures' power/toughness, not necessarily a nerf. See also [humble](/tags/card/humble).",101,0,[],[]
synergy-noncreature,synergy-noncreature,,101,0,[],[]
egg,egg,Artifacts that have to be sacrificed to do something.,102,0,['sacrifice-self'],[]
regenerates-self,regenerates self,Cards with effects that regenerate themselves.,102,9,[],[]
toughness-matters,toughness matters,"Other than in, you know, the usual way.",102,2,[],[]
mana-filter,mana filter,Convert mana to other colors.,105,15,[],[]
recursion-enchantment,recursion-enchantment,,106,0,['recursion'],"['regrowth-enchantment', 'reanimate-enchantment']"
synergy-aura,synergy-aura,,106,1,[],[]
hate-flying,hate-flying,,107,5,[],[]
gives-mm-counters,gives mm counters,,108,2,[],[]
synergy-equipment,synergy-equipment,,111,6,[],[]
bombard,bombard,Sacrifice something to deal N damage. See also [fling](/tags/card/fling).,112,0,['sacrifice-outlet'],['bombard-self']
synergy-green,synergy-green,,112,0,[],[]
tuck,tuck,Effects that put a spell or permanent into its owner's library.,112,5,[],[]
hate-artifact,hate-artifact,,113,1,[],[]
lifegain-matters,lifegain matters,,113,1,[],[]
rescue-creature,rescue-creature,,114,0,"['bounce', 'rescue']",[]
synergy-token,synergy-token,,117,2,[],['synergy-token-creature']
poison-mechanics,poison mechanics,Cards and effects that interact with poison counters by name.,118,4,[],['poisonous']
recursion-land,recursion-land,,119,0,['recursion'],"['reanimate-land', 'regrowth-land']"
discard-with-set-mechanic,discard with set mechanic,,122,0,['discard'],[]
gives-lifelink,gives lifelink,,122,0,['lifegain'],[]
restricted-mana,restricted mana,,123,3,[],[]
boost-toughness,boost-toughness,,124,11,[],[]
potentially-black-border,potentially black border,Silver border cards that could've been given a black border instead if they were printed today.,124,6,[],[]
removal-land-destroy,removal-land-destroy,,124,0,"['removal', 'removal-land']",[]
synergy-white,synergy-white,,125,2,[],[]
consult,consult,Dig through your library until you find a card meeting some criteria.,126,0,['card-advantage'],['consult-cast']
deprecated-mechanics,deprecated mechanics,Mechanics that have been deprecated by newer developments.,127,2,[],[]
face-up-face-down-effects,face-up-face-down-effects,,128,3,[],['turn-face-up-trigger-self']
restock,restock,Effects that return cards from the graveyard to the library. (Named in Maro's color pie 2017 article.),128,0,['recursion'],[]
removal-permanent,removal-permanent,,130,0,"['removal', 'removal-artifact', 'removal-creature', 'removal-enchantment', 'removal-land', 'removal-planeswalker']",[]
utility-mana-rock,utility mana rock,,130,0,"['ramp', 'mana-producer', 'mana-rock']",[]
rhystic,rhystic,Effects that opponents can buy off if they pay mana.,131,0,['dilemma'],[]
synergy-blocker-self,synergy-blocker-self,,132,4,[],[]
dnd-character,dnd character,"Cards that represent Dungeons and Dragons characters: name, rules text, etc. See also the [dungeons and dragons](/tags/artwork/dungeons-and-dragons) art tag.",133,0,['dnd'],[]
multiplayer,multiplayer,Cards that interact with all of the players in the game. They might scale with the number of players or affect the turn order for example.,134,4,[],[]
pair-commander,pair-commander,,137,1,[],[]
power-matters-self,power matters-self,,137,0,['power-matters'],[]
tutor-creature,tutor-creature,Cards that tutor creature cards.,137,0,['tutor'],[]
surveil,surveil,Cards that let you look at the top # cards of your library and put some into the graveyard.,138,0,"['top-deck-manipulation', 'mill', 'mill-self']",[]
hate-tribal,hate-tribal,,141,0,[],[]
disenchant-naturalize,disenchant/naturalize,,142,0,"['removal', 'removal-artifact', 'removal-enchantment']",[]
impulsive-draw,impulsive draw,"Cards which let you cast a card this turn off the top of a library. Use it or lose it. Typically a red card advantage mechanic. For the effect seen on the [card Impulse](/card/vis/34), see the [tag impulse](/tags/card/impulse).",143,0,"['card-advantage', 'red-effect']",[]
theft-creature,theft-creature,,143,0,"['control-changing-effects', 'theft']",[]
gives-indestructible,gives indestructible,,148,2,[],[]
landfall,landfall,Cards which reward you for playing lands.,148,0,['lands-matter'],[]
sacrifice-outlet-land,sacrifice outlet-land,,148,0,['sacrifice-outlet'],[]
upkeep-cost,upkeep cost,,153,0,[],[]
synergy-enchantment,synergy-enchantment,,159,4,[],[]
firebreathing,firebreathing,Give a creature +X/+0 until end of turn via an activated ability.,160,0,[],[]
creature-count-matters,creature count matters,,161,7,[],[]
hate-set-mechanic,hate-set-mechanic,,161,2,[],[]
reflexive-trigger,reflexive trigger,An ability that triggers based on actions taken earlier during a spell or ability's resolution.,162,0,[],[]
synergy-legendary,synergy-legendary,,164,2,[],[]
color-change,color change,,165,4,[],['color-change-self']
removal-creature-sacrifice,removal-creature-sacrifice,,165,0,"['removal', 'removal-creature']",[]
requires-notation,requires notation,,165,2,[],[]
dice-roll,dice roll,Cards that involve rolling dice.,167,2,[],['roll-d6']
cost-ignorer,cost ignorer,,168,1,[],['sneak']
recursion-artifact,recursion-artifact,,169,0,['recursion'],"['regrowth-artifact', 'reanimate-artifact']"
gives-vigilance,gives vigilance,,171,8,[],[]
rummage,rummage,"Discard a card, then draw a card. Mainly red. See also [loot](/tags/card/loot), the blue version, which draws then discards.",171,0,"['card-advantage', 'discard-outlet', 'red-effect']",[]
sacrifice-outlet-artifact,sacrifice outlet-artifact,,172,0,['sacrifice-outlet'],[]
out-of-color-token,out of color token,,173,0,[],[]
removal-creature-bounce,removal-creature-bounce,,173,0,"['removal', 'removal-creature']",[]
gains-flying,gains flying,,176,0,['evasion'],[]
refund,refund,Immediately get mana or untapped lands back.,176,0,[],[]
gives-first-strike,gives first strike,,179,7,[],[]
name-matters,name matters,"Effects that care about card names: different names, same name, specific name, etc.",189,13,[],[]
bear-with-set-s-mechanic,bear with set's mechanic,A 2/2 for 2 with one of the set's iconic mechanics,191,4,[],[]
bear-with-set-s-mechanic,bear with set's mechanic,A 2/2 for 2 with one of the set's iconic mechanics,191,4,[],[]
fun-ruling,fun ruling,Cards with rulings where the rules manager is having fun with us. Not necessarily laugh-out-loud funny.,191,1,[],[]
burn-with-set-mechanic,burn with set mechanic,,192,0,[],[]
hand-size-matters,hand size matters,,198,5,[],['hand-size-hate']
untracked-indefinite-effect,untracked indefinite effect,Effects that last forever but aren't tracked by anything. For these purposes we're not counting ETB clones.,199,0,['indefinite-effect'],[]
tutor-land-to-battlefield,tutor-land-to-battlefield,,202,0,"['tutor', 'tutor-land', 'tutor-to', 'tutor-to-battlefield']",[]
pinger,pinger,Effects that deal just 1-2 damage repeatedly.,209,0,[],[]
indefinite-effect,indefinite effect,"Effects that last forever, sometimes tracked, sometimes untracked.",211,0,[],['untracked-indefinite-effect']
prevent-blocker,prevent blocker,,211,13,[],[]
activate-from-graveyard,activate from graveyard,Abilities that can be activated from inside a graveyard.,215,3,[],[]
activate-from-graveyard,activate from graveyard,Abilities that can be activated from inside a graveyard.,215,3,[],[]
rescue,rescue,Bounce something you control.,216,0,['bounce'],"['rescue-creature', 'rescue-land']"
giant-growth,giant growth,,217,0,"['combat-trick', 'enlarge']",['giant-growth-with-set-mechanic']
cost-reducer,cost reducer,"Cards that make other spells cost less. (Does not apply to effects that reduce a spell's own cost, like delve.)",221,15,[],[]
removal-enchantment-destroy,removal-enchantment-destroy,,225,0,"['removal', 'removal-enchantment']",[]
unique-mana-cost,unique mana cost,,225,2,[],[]
removal-creature-exile,removal-creature-exile,,229,0,"['removal', 'removal-creature']",['banish-creature']
free-cast-another,free-cast-another,,232,3,[],[]
animate-self,animate self,Noncreatures that can become creatures.,233,0,"['type-change', 'animate']",[]
animate-self,animate self,Noncreatures that can become creatures.,233,0,"['type-change', 'animate']",[]
sweeper-creature-burn,sweeper-creature-burn,,235,10,[],[]
offcolor-ability,offcolor ability,Abilities with a mana cost outside the card's colors.,240,1,[],[]
anthem,anthem,Your entire team gets +N/+N. Possibly limited to creature types or colors.,249,6,[],[]
anthem,anthem,Your entire team gets +N/+N. Possibly limited to creature types or colors.,249,6,[],[]
enlarge,enlarge,"Effects that give a creature +N/+N. This value should be significant, at least 3.",250,2,[],['giant-growth']
cycle-dual-land,cycle-dual-land,,254,0,"['cycle', 'cycle-land']",[]
cast-from-graveyard,cast-from-graveyard,,257,7,[],[]
repeatable-removal,repeatable removal,,257,0,['removal'],[]
tutor-land-basic,tutor-land-basic,Cards that tutor basic land cards.,257,0,"['tutor', 'tutor-land']",[]
tribal-coupling,tribal coupling,,258,0,[],[]
copy-creature,copy-creature,,259,0,['copy'],[]
group-hug,group hug,,259,0,[],['selective-group-hug']
loot,loot,"Draw a card, then discard a card. Mainly blue. See also [rummage](/tags/card/rummage), the red version, which discards then draws.",262,0,"['blue-effect', 'card-advantage', 'discard-outlet']",[]
hate-attacker,hate-attacker,,265,2,[],[]
regrowth-creature,regrowth-creature,,267,0,"['card-advantage', 'regrowth', 'recursion', 'recursion-creature', 'regrowth']",[]
drain-life,drain life,Hurt your opponent and gain life to match.,274,0,"['inverted-effects', 'lifegain']",[]
reanimate-self,reanimate-self,Cards that reanimate themselves.,274,0,"['recursion', 'reanimate']",[]
mana-rock,mana rock,Noncreature artifacts that net increase your mana.,275,0,"['ramp', 'mana-producer']",['utility-mana-rock']
un-set-mechanics,un-set mechanics,Card tags showing mechanics that (at least nowadays) only show up in un-sets.,282,0,['un-design'],[]
un-design,un-design,Features characteristic of and unique to the world of un-sets.,285,1,[],['un-set-mechanics']
mana-dork,mana dork,Low-cost creatures which can repeatedly generate mana,290,0,"['ramp', 'mana-producer']",[]
removal-creature-toughness,removal-creature-toughness,,300,0,"['removal', 'removal-creature']",[]
hate-graveyard,hate-graveyard,,309,9,[],[]
pp-counters-matter,pp counters matter,,318,0,['counters-matter'],[]
removal-artifact-destroy,removal-artifact-destroy,,322,0,"['removal', 'removal-artifact']",[]
adds-multiple-mana,adds multiple mana,Cards that add more than one mana at a time.,334,0,[],[]
adds-multiple-mana,adds multiple mana,Cards that add more than one mana at a time.,334,0,[],[]
block-trigger,block trigger,,335,2,[],[]
block-trigger,block trigger,,335,2,[],[]
dilemma,dilemma,Effects that give you two equally bad choices.,336,2,[],"['punisher', 'rhystic']"
gives-flying,gives flying,,342,0,['gives-evasion'],[]
martyr,martyr,Creatures that sacrifice themselves for benefit.,343,0,['sacrifice-self'],[]
tapland,tapland,Non-basic lands which come into play tapped,343,7,[],[]
graveyard-fuel,graveyard fuel,Cards that require exiling other cards in graveyard as an additional cost for abilities and effects.,345,1,[],['graveyard-fuel-creature']
inverted-effects,inverted effects,,347,0,[],['drain-life']
removal-land,removal-land,,355,0,['removal'],"['removal-land-destroy', 'removal-permanent']"
punny-name,punny name,,356,0,['card-names'],[]
