name,colors,types,price,tags
A-Druid Class,['G'],['Enchantment'],,[]
A-Druidic Ritual,['G'],['Sorcery'],,[]
A-Dueling Coach,['W'],['Creature'],,[]
A-Dungeon Descent,['C'],['Land'],,[]
A-Dwarfhold Champion,['W'],['Creature'],,[]
A-Earthquake Dragon,['G'],['Creature'],,[]
A-Eiganjo Exemplar,['W'],"['Enchantment', 'Creature']",,[]
A-Elderfang Ritualist,['B'],['Creature'],,[]
A-Elderleaf Mentor,['G'],['Creature'],,[]
A-Ellywick Tumblestrum,['G'],['Planeswalker'],,[]
A-Elven Bow,['G'],['Artifact'],,[]
A-Emerald Dragon // A-Dissonant Wave,['G'],['Creature'],,[]
A-Excavation Explosion,['R'],['Instant'],,['removal']
A-Exhibition Magician,['R'],['Creature'],,[]
A-Eyes of the Beholder,['B'],['Instant'],,['removal']
A-Falcon Abomination,['U'],['Creature'],,['evasion']
A-Fall of the Impostor,"['G', 'W']",['Enchantment'],,['removal']
A-Fates' Reversal,['B'],['Sorcery'],,['card-advantage']
A-Find the Path,['G'],['Enchantment'],,[]
A-Fires of Invention,['R'],['Enchantment'],,[]
A-Forge Boss,"['B', 'R']",['Creature'],,[]
A-Futurist Operative,['U'],['Creature'],,['evasion']
A-Galvanic Discharge,['R'],['Instant'],,['removal']
A-Geological Appraiser,['R'],['Creature'],,['card-advantage']
A-Geology Enthusiast,['U'],['Creature'],,['card-advantage']
A-Glamorous Outlaw,"['B', 'R', 'U']",['Creature'],,[]
A-Glittermonger,['G'],['Creature'],,[]
A-Gnarlid Colony,['G'],['Creature'],,[]
A-Goggles of Night,['U'],['Artifact'],,['card-advantage']
A-Goma Fada Vanguard,['R'],['Creature'],,[]
A-Graveyard Shift,['B'],['Sorcery'],,['card-names']
A-Guide of Souls,['W'],['Creature'],,[]
A-Guildsworn Prowler,['B'],['Creature'],,['card-advantage']
A-Hagra Constrictor,['B'],['Creature'],,['evasion']
A-Hall of Tagsin,['C'],['Land'],,[]
A-Harald Unites the Elves,"['B', 'G']",['Enchantment'],,"['removal-creature', 'removal']"
"A-Harald, King of Skemfar","['B', 'G']",['Creature'],,"['evasion', 'card-advantage']"
A-Haywire Mite,['C'],"['Artifact', 'Creature']",,['removal']
A-Heartfire Hero,['R'],['Creature'],,[]
A-High-Rise Sawjack,['G'],['Creature'],,[]
A-Hobbling Zombie,['B'],['Creature'],,[]
A-Imperial Subduer,['W'],['Creature'],,[]
A-Incriminate,['B'],['Sorcery'],,"['removal-creature', 'removal', 'card-names']"
A-Iridescent Hornbeetle,['G'],['Creature'],,[]
A-Jackhammer,['R'],['Artifact'],,['card-names']
A-Jade Orb of Dragonkind,['G'],['Artifact'],,[]
A-Kargan Intimidator,['R'],['Creature'],,[]
A-Kargan Warleader,"['R', 'W']",['Creature'],,[]
"A-Karn, Living Legacy",['C'],['Planeswalker'],,"['removal-creature', 'card-advantage', 'removal']"
A-Kenku Artificer,['U'],['Creature'],,[]
A-Knockout Blow,['W'],['Instant'],,"['removal-creature', 'removal']"
A-Krydle of Baldur's Gate,"['B', 'U']",['Creature'],,['evasion']
A-Lantern of Revealing,['C'],['Artifact'],,['card-advantage']
A-Lapis Orb of Dragonkind,['U'],['Artifact'],,[]
A-Leyline of Resonance,['R'],['Enchantment'],,[]
"A-Lier, Disciple of the Drowned",['U'],['Creature'],,[]
A-Llanowar Greenwidow,['G'],['Creature'],,[]
A-Llanowar Loamspeaker,['G'],['Creature'],,[]
A-Maelstrom Muse,"['R', 'U']",['Creature'],,['evasion']
A-Manticore,['B'],['Creature'],,"['evasion', 'removal-creature', 'removal', 'flavors-of-vanilla', 'card-names']"
A-Masked Bandits,"['B', 'G', 'R']",['Creature'],,"['evasion', 'flavors-of-vanilla']"
A-Master of Winds,['U'],['Creature'],,"['evasion', 'card-advantage']"
A-Mentor's Guidance,['U'],['Sorcery'],,['card-advantage']
A-Meria's Outrider,['R'],['Creature'],,"['removal-creature', 'removal', 'card-names']"
A-Metropolis Angel,"['U', 'W']",['Creature'],,"['evasion', 'attack-trigger', 'attack-trigger', 'card-advantage']"
A-Midnight Assassin,['B'],['Creature'],,"['evasion', 'flavors-of-vanilla']"
A-Mightstone's Animation,['U'],['Enchantment'],,['card-advantage']
"A-Minsc & Boo, Timeless Heroes","['G', 'R']",['Planeswalker'],,"['removal-creature', 'card-advantage', 'typal-creature', 'removal', 'typal']"
"A-Mishra, Excavation Prodigy",['R'],['Creature'],,['card-advantage']
A-Moon-Circuit Hacker,['U'],"['Enchantment', 'Creature']",,['card-advantage']
A-Moss-Pit Skeleton,"['B', 'G']",['Creature'],,['card-advantage']
A-Most Wanted,['G'],['Enchantment'],,[]
"A-Mr. Orfeo, the Boulder","['B', 'G', 'R']",['Creature'],,"['attack-trigger', 'attack-trigger']"
"A-Nadu, Winged Wisdom","['G', 'U']",['Creature'],,"['evasion', 'alliteration', 'alliteration', 'card-advantage', 'card-names']"
"A-Nael, Avizoa Aeronaut","['G', 'U']",['Creature'],,"['evasion', 'card-advantage']"
"A-Nahiri, Heir of the Ancients","['R', 'W']",['Planeswalker'],,"['removal-creature', 'card-advantage', 'typal-creature', 'removal', 'typal']"
"A-Narfi, Betrayer King","['B', 'U']",['Creature'],,"['typal-creature', 'typal']"
"A-Nashi, Moon Sage's Scion",['B'],['Creature'],,"['alliteration', 'alliteration', 'card-advantage', 'card-names']"
A-Navigation Orb,['C'],['Artifact'],,[]
A-Nezumi Prowler,['B'],"['Artifact', 'Creature']",,['lifegain']
A-Ocelot Pride,['W'],['Creature'],,['lifegain']
A-Ochre Jelly,['G'],['Creature'],,[]
A-Ominous Parcel,['C'],['Artifact'],,"['removal-creature', 'removal']"
"A-Omnath, Locus of Creation","['G', 'R', 'U', 'W']",['Creature'],,"['lifegain', 'draw', 'card-advantage']"
A-Oran-Rief Ooze,['G'],['Creature'],,"['attack-trigger', 'attack-trigger']"
A-Orcish Bowmasters,['B'],['Creature'],,"['removal-creature', 'typal-creature', 'removal', 'typal']"
A-Paragon of Modernity,['C'],"['Artifact', 'Creature']",,['evasion']
A-Patrician Geist,['U'],['Creature'],,"['evasion', 'typal-creature', 'typal']"
A-Peerless Samurai,['R'],['Creature'],,"['evasion', 'attack-trigger', 'attack-trigger', 'typal-creature', 'typal']"
A-Phantom Carriage,['U'],['Creature'],,"['evasion', 'flavors-of-vanilla']"
"A-Phylath, World Sculptor","['G', 'R']",['Creature'],,"['typal-creature', 'typal']"
A-Plate Armor,['W'],['Artifact'],,[]
A-Precipitous Drop,['B'],['Enchantment'],,"['removal-creature', 'removal']"
A-Prosperous Thief,['U'],['Creature'],,"['typal-creature', 'typal']"
A-Pseudodragon Familiar,['U'],['Creature'],,['evasion']
A-Psionic Snoop,['U'],['Creature'],,"['card-advantage', 'flavors-of-vanilla']"
A-Public Enemy,['U'],['Enchantment'],,"['draw', 'card-advantage']"
A-Pyre-Sledge Arsonist,['R'],['Creature'],,"['removal-creature', 'removal']"
"A-Queza, Augur of Agonies","['B', 'U', 'W']",['Creature'],,"['alliteration', 'alliteration', 'creature-type-erratum', 'lifegain', 'card-names']"
"A-Radha, Coalition Warlord","['G', 'R']",['Creature'],,[]
A-Radha's Firebrand,['R'],['Creature'],,"['attack-trigger', 'attack-trigger', 'card-names']"
"A-Raiyuu, Storm's Edge","['R', 'W']",['Creature'],,"['attack-trigger', 'attack-trigger', 'typal-creature', 'typal']"
A-Rakish Revelers,"['G', 'R', 'W']",['Creature'],,"['alliteration', 'alliteration', 'flavors-of-vanilla', 'card-names']"
A-Ready to Rumble,['R'],['Instant'],,"['alliteration', 'alliteration', 'removal-creature-burn', 'removal-creature', 'removal-planeswalker', 'removal', 'card-names']"
A-Return Upon the Tide,['B'],['Sorcery'],,"['typal-creature', 'typal', 'recursion']"
A-Revel Ruiner,['B'],['Creature'],,"['evasion', 'alliteration', 'alliteration', 'creature-type-erratum', 'gains-pp-counters', 'card-advantage', 'flavors-of-vanilla', 'card-names']"
A-Riveteers Initiate,['R'],['Creature'],,[]
A-Rockslide Sorcerer,['R'],['Creature'],,"['removal-creature-burn', 'removal-creature', 'typal-creature', 'removal-planeswalker', 'removal', 'typal']"
"A-Rulik Mons, Warren Chief","['G', 'R']",['Creature'],,"['evasion', 'attack-trigger', 'attack-trigger', 'synergy-attacker-self', 'card-advantage']"
"A-Saheeli, Filigree Master","['R', 'U']",['Planeswalker'],,"['draw', 'card-advantage']"
A-Satoru Umezawa,"['B', 'U']",['Creature'],,['card-advantage']
A-Scout the Wilderness,['G'],['Sorcery'],,[]
A-Security Rhox,"['G', 'R']",['Creature'],,['flavors-of-vanilla']
A-Sepulcher Ghoul,['B'],['Creature'],,[]
A-Sewer Crocodile,['U'],['Creature'],,['evasion']
A-Shattered Seraph,"['B', 'U', 'W']",['Creature'],,"['evasion', 'alliteration', 'alliteration', 'lifegain', 'flavors-of-vanilla', 'card-names']"
"A-Shessra, Death's Whisper","['B', 'G']",['Creature'],,"['intervening-if-clause', 'draw', 'card-advantage']"
A-Shipwreck Sifters,['U'],['Creature'],,"['noncreature-tribal', 'gains-pp-counters', 'card-advantage', 'typal-creature', 'typal']"
A-Sigardian Paladin,"['G', 'W']",['Creature'],,['lifegain']
A-Sigil of Myrkul,['B'],['Enchantment'],,"['intervening-if-clause', 'gives-pp-counters']"
A-Silver-Fur Master,"['B', 'U']",['Creature'],,"['typal-creature', 'typal']"
A-Sizzling Soloist,['R'],['Creature'],,"['alliteration', 'alliteration', 'card-names']"
A-Skemfar Avenger,['B'],['Creature'],,"['noncreature-tribal', 'draw', 'death-trigger', 'card-advantage', 'leaves-battlefield-trigger', 'typal-creature', 'typal']"
A-Skemfar Elderhall,['C'],['Land'],,"['removal-creature', 'removal']"
A-Skull Skaab,"['B', 'U']",['Creature'],,"['alliteration', 'alliteration', 'repeatable-token-generator', 'card-names']"
A-Skyclave Shadowcat,['B'],['Creature'],,"['gains-pp-counters', 'draw', 'death-trigger', 'card-advantage', 'leaves-battlefield-trigger']"
A-Social Climber,['G'],['Creature'],,['lifegain']
A-Sorcerer Class,"['R', 'U']",['Enchantment'],,"['burn-player', 'card-advantage']"
A-Soul of Windgrace,"['B', 'G', 'R']",['Creature'],,"['attack-trigger', 'attack-trigger', 'lifegain', 'synergy-attacker-self', 'card-advantage', 'recursion']"
A-Spara's Adjudicators,"['G', 'U', 'W']",['Creature'],,"['namesake-spell', 'flavors-of-vanilla', 'card-names']"
A-Speakeasy Server,['W'],['Creature'],,"['evasion', 'lifegain', 'flavors-of-vanilla']"
A-Spell Satchel,['C'],['Artifact'],,"['draw', 'ramp', 'card-advantage']"
A-Split the Spoils,['G'],['Sorcery'],,"['alliteration', 'alliteration', 'card-advantage', 'recursion', 'card-names']"
A-Splitting the Powerstone,['U'],['Instant'],,"['draw', 'card-advantage']"
A-Sprouting Goblin,['R'],['Creature'],,"['intervening-if-clause', 'draw', 'card-advantage']"
A-Steadfast Unicorn,['W'],['Creature'],,[]
A-Stimulus Package,"['G', 'R']",['Enchantment'],,['repeatable-token-generator']
A-Stitched Assistant,['U'],['Creature'],,"['draw', 'card-advantage', 'flavors-of-vanilla']"
A-Sunbathing Rootwalla,['G'],['Creature'],,[]
A-Symmetry Sage,['U'],['Creature'],,['evasion']
A-Syndicate Infiltrator,"['B', 'U']",['Creature'],,['evasion']
A-Tanazir Quandrix,"['G', 'U']",['Creature'],,"['evasion', 'attack-trigger', 'attack-trigger', 'synergy-attacker-self', 'gives-pp-counters']"
"A-Tatyova, Steward of Tides","['G', 'U']",['Creature'],,"['intervening-if-clause', 'gives-evasion']"
"A-Teferi, Time Raveler","['U', 'W']",['Planeswalker'],,"['draw', 'removal-creature', 'card-advantage', 'removal']"
A-Tenured Inkcaster,['B'],['Creature'],,"['attack-trigger', 'attack-trigger', 'lifegain', 'gives-pp-counters', 'synergy-attacker']"
A-The Meathook Massacre,['B'],['Enchantment'],,"['death-trigger', 'leaves-battlefield-trigger']"
A-The One Ring,['C'],['Artifact'],,"['draw', 'card-advantage']"
A-Thornmantle Striker,['B'],['Creature'],,"['noncreature-tribal', 'removal-creature', 'typal-creature', 'removal', 'typal', 'flavors-of-vanilla']"
A-Thousand-Faced Shadow,['U'],['Creature'],,"['evasion', 'intervening-if-clause', 'synergy-attacker-self', 'synergy-attacker']"
A-Thran Portal,['C'],['Land'],,[]
A-Thran Spider,['C'],"['Artifact', 'Creature']",,"['ramp', 'card-advantage']"
A-Tome Shredder,['R'],['Creature'],,['gains-pp-counters']
A-Triumphant Adventurer,"['B', 'W']",['Creature'],,"['attack-trigger', 'attack-trigger', 'synergy-attacker-self']"
A-Tyvar Kell,['G'],['Planeswalker'],,"['noncreature-tribal', 'draw', 'repeatable-token-generator', 'gives-pp-counters', 'card-advantage', 'typal-creature', 'typal']"
A-Umara Mystic,"['R', 'U']",['Creature'],,"['evasion', 'noncreature-tribal', 'typal-creature', 'typal']"
A-Unholy Heat,['R'],['Instant'],,"['removal-creature-burn', 'removal-creature', 'removal-planeswalker', 'removal']"
"A-Urza, Powerstone Prodigy",['U'],['Creature'],,"['ramp', 'card-advantage']"
A-Urza's Command,['U'],['Instant'],,"['namesake-spell', 'draw', 'ramp', 'card-advantage', 'cycle', 'card-names']"
"A-Uurg, Spawn of Turg","['B', 'G']",['Creature'],,"['lifegain', 'sacrifice-outlet']"
A-Vampire Scrivener,['B'],['Creature'],,"['evasion', 'gains-pp-counters']"
"A-Vega, the Watcher","['U', 'W']",['Creature'],,"['evasion', 'draw', 'repeatable-draw', 'card-advantage']"
A-Visions of Phyrexia,['R'],['Enchantment'],,"['intervening-if-clause', 'card-advantage']"
A-Warm Welcome,['G'],['Sorcery'],,"['alliteration', 'alliteration', 'card-advantage', 'card-names']"
"A-Winota, Joiner of Forces","['R', 'W']",['Creature'],,"['synergy-attacker', 'card-advantage', 'typal-creature', 'typal']"
A-Wizard Class,['U'],['Enchantment'],,"['draw', 'gives-pp-counters', 'card-advantage']"
A-You Come to a River,['U'],['Sorcery'],,"['removal-creature', 'gives-evasion', 'removal-planeswalker', 'removal']"
A-Young Blue Dragon // A-Sand Augury,['U'],['Creature'],,"['evasion', 'draw', 'virtual-french-vanilla', 'card-advantage', 'flavors-of-vanilla']"
A-Young Red Dragon // A-Bathe in Gold,['R'],['Creature'],,"['evasion', 'virtual-french-vanilla', 'ramp', 'flavors-of-vanilla']"
"A-Zar Ojanen, Scion of Efrava","['G', 'W']",['Creature'],,['gives-pp-counters']
Aarakocra Sneak,['U'],['Creature'],0.16,[]
"Aatchik, Emerald Radian","['B', 'G']",['Creature'],0.02,[]
Abaddon the Despoiler,"['B', 'R', 'U']",['Creature'],0.25,[]
Abandon Hope,['B'],['Sorcery'],0.04,[]
Abandon Reason,['R'],['Instant'],0.03,[]
Abandon the Post,['R'],['Sorcery'],0.03,[]
Abandoned Campground,['C'],['Land'],0.03,[]
Abandoned Outpost,['C'],['Land'],0.12,[]
Abandoned Sarcophagus,['C'],['Artifact'],,[]
Abbey Gargoyles,['W'],['Creature'],0.04,[]
Abbey Griffin,['W'],['Creature'],0.04,[]
Abbey Matron,['W'],['Creature'],,[]
Abbot of Keral Keep,['R'],['Creature'],0.02,[]
Abbot of the Sacred Meeple,['W'],['Creature'],,[]
"Abdel Adrian, Gorion's Ward",['W'],['Creature'],,[]
Abduction,['U'],['Enchantment'],,[]
Aberrant,['G'],['Creature'],0.87,[]
Aberrant Mind Sorcerer,['U'],['Creature'],0.03,[]
Abeyance,['W'],['Instant'],2.99,[]
Abhorrent Oculus,['U'],['Creature'],22.08,[]
Abhorrent Overlord,['B'],['Creature'],0.02,[]
Abiding Grace,['W'],['Enchantment'],0.03,[]
Abjure,['U'],['Instant'],0.04,[]
Abnormal Endurance,['B'],['Instant'],0.03,[]
Aboleth Spawn,['U'],['Creature'],3.39,[]
Abominable Treefolk,"['G', 'U']",['Creature'],0.03,[]
Abomination,['B'],['Creature'],,[]
Abomination of Gudul,"['B', 'G', 'U']",['Creature'],0.03,[]
Abomination of Llanowar,"['B', 'G']",['Creature'],0.05,[]
Aboroth,['G'],['Creature'],0.02,[]
"Aboshan, Cephalid Emperor",['U'],['Creature'],0.02,[]
Aboshan's Desire,['U'],['Enchantment'],0.04,[]
About Face,['R'],['Instant'],0.04,[]
Abrade,['R'],['Instant'],,[]
Abraded Bluffs,['C'],['Land'],0.03,[]
Abrupt Decay,"['B', 'G']",['Instant'],0.58,[]
Absolute Grace,['W'],['Enchantment'],0.04,[]
Absolute Law,['W'],['Enchantment'],0.21,[]
Absolver Thrull,['W'],['Creature'],0.03,[]
Absolving Lammasu,['W'],['Creature'],0.02,[]
Absorb,"['U', 'W']",['Instant'],0.24,[]
Absorb Energy,['U'],['Instant'],,[]
Absorb Identity,['U'],['Instant'],0.03,[]
Absorb Vis,['B'],['Sorcery'],,[]
Abstergo Entertainment,['C'],['Land'],0.03,[]
Abstruse Appropriation,['C'],['Instant'],0.02,[]
Abstruse Archaic,['C'],['Creature'],1.07,[]
Abstruse Interference,['C'],['Instant'],0.03,[]
Abu Ja'far,['W'],['Creature'],,[]
"Abuelo, Ancestral Echo","['U', 'W']",['Creature'],0.02,[]
Abuelo's Awakening,['W'],['Sorcery'],0.02,[]
Abuna Acolyte,['W'],['Creature'],0.03,[]
Abuna's Chant,['W'],['Instant'],0.04,[]
Abundance,['G'],['Enchantment'],0.25,[]
Abundant Growth,['G'],['Enchantment'],,[]
Abundant Harvest,['G'],['Sorcery'],0.04,[]
Abundant Maw,['C'],['Creature'],,[]
Abyssal Gorestalker,['B'],['Creature'],0.02,[]
Abyssal Harvester,['B'],['Creature'],0.02,[]
Abyssal Horror,['B'],['Creature'],0.02,[]
Abyssal Hunter,['B'],['Creature'],,[]
Abyssal Nightstalker,['B'],['Creature'],,[]
Abyssal Nocturnus,['B'],['Creature'],0.02,[]
Abyssal Persecutor,['B'],['Creature'],0.04,[]
Abyssal Specter,['B'],['Creature'],0.03,[]
Abzan Advantage,['W'],['Instant'],0.03,[]
Abzan Ascendancy,"['B', 'G', 'W']",['Enchantment'],0.02,[]
Abzan Banner,['C'],['Artifact'],0.03,[]
Abzan Battle Priest,['W'],['Creature'],0.05,[]
Abzan Beastmaster,['G'],['Creature'],0.03,[]
Abzan Charm,"['B', 'G', 'W']",['Instant'],0.13,[]
Abzan Falconer,['W'],['Creature'],0.05,[]
Abzan Guide,"['B', 'G', 'W']",['Creature'],0.03,[]
Abzan Kin-Guard,['G'],['Creature'],0.05,[]
Abzan Runemark,['W'],['Enchantment'],0.03,[]
Abzan Skycaptain,['W'],['Creature'],0.05,[]
Academic Dispute,['R'],['Instant'],0.03,[]
Academic Probation,['W'],['Sorcery'],0.02,[]
Academy Drake,['U'],['Creature'],0.04,[]
Academy Elite,['U'],['Creature'],,[]
Academy Journeymage,['U'],['Creature'],0.03,[]
Academy Loremaster,['U'],['Creature'],0.03,[]
Academy Manufactor,['C'],"['Artifact', 'Creature']",0.17,[]
Academy Raider,['R'],['Creature'],0.03,[]
Academy Rector,['W'],['Creature'],1.78,[]
Academy Researchers,['U'],['Creature'],0.03,[]
Academy Ruins,['C'],['Land'],0.1,[]
Academy Wall,['U'],['Creature'],0.03,[]
Accelerate,['R'],['Instant'],0.04,[]
Accelerated Mutation,['G'],['Instant'],0.06,[]
Acceptable Losses,['R'],['Sorcery'],0.06,[]
Access Denied,['U'],['Instant'],1.92,[]
Access Tunnel,['C'],['Land'],0.09,[]
Accident-Prone Apprentice // Amphibian Accident,['R'],['Creature'],,[]
Acclaimed Contender,['W'],['Creature'],0.2,[]
Accomplished Alchemist,['G'],['Creature'],0.02,[]
Accomplished Automaton,['C'],"['Artifact', 'Creature']",0.03,[]
Accorder Paladin,['W'],['Creature'],0.03,[]
Accorder's Shield,['C'],['Artifact'],0.03,[]
Accumulated Knowledge,['U'],['Instant'],0.04,[]
Accursed Centaur,['B'],['Creature'],0.04,[]
Accursed Duneyard,['C'],['Land'],1.29,[]
Accursed Horde,['B'],['Creature'],,[]
Accursed Marauder,['B'],['Creature'],0.03,[]
Accursed Spirit,['B'],['Creature'],0.04,[]
Ace Flockbringer,"['U', 'W']",['Creature'],,[]
"Ace, Fearless Rebel",['G'],['Creature'],,[]
Ace's Baseball Bat,['C'],['Artifact'],,[]
Acererak the Archlich,['B'],['Creature'],0.26,[]
Achilles Davenport,"['B', 'U']",['Creature'],0.02,[]
Acid Rain,['U'],['Sorcery'],0.03,[]
Acid Web Spider,['G'],['Creature'],0.03,[]
Acid-Spewer Dragon,['B'],['Creature'],0.03,[]
Acidic Dagger,['C'],['Artifact'],0.03,[]
Acidic Slime,['G'],['Creature'],0.04,[]
Acidic Sliver,"['B', 'R']",['Creature'],0.04,[]
Acidic Soil,['R'],['Sorcery'],0.06,[]
Acolyte Hybrid,['R'],['Creature'],0.4,[]
Acolyte of Aclazotz,['B'],['Creature'],0.03,[]
Acolyte of Affliction,"['B', 'G']",['Creature'],0.03,[]
Acolyte of Bahamut,['G'],['Enchantment'],,[]
Acolyte of the Inferno,['R'],['Creature'],0.03,[]
Acolyte of Xathrid,['B'],['Creature'],0.04,[]
Acolyte's Reward,['W'],['Instant'],0.03,[]
Acorn Catapult,['C'],['Artifact'],0.22,[]
Acorn Harvest,['G'],['Sorcery'],1.24,[]
Acquire,['U'],['Sorcery'],0.02,[]
Acquired Mutation,['R'],['Enchantment'],1.31,[]
Acquisition Octopus,['U'],"['Artifact', 'Creature']",0.03,[]
Acquisitions Expert,['B'],['Creature'],0.03,[]
Acridian,['G'],['Creature'],0.05,[]
Acrobatic Cheerleader,['W'],['Creature'],0.03,[]
Acrobatic Leap,['W'],['Instant'],0.03,[]
Acrobatic Maneuver,['W'],['Instant'],0.03,[]
Act of Aggression,['R'],['Instant'],,[]
Act of Authority,['W'],['Enchantment'],0.57,[]
Act of Heroism,['W'],['Instant'],0.15,[]
Act of Treason,['R'],['Sorcery'],0.04,[]
Act on Impulse,['R'],['Sorcery'],0.03,[]
Activated Sleeper,['B'],['Creature'],0.41,[]
Active Volcano,['R'],['Instant'],0.36,[]
Ad Nauseam,['B'],['Instant'],0.07,[]
Adamant Will,['W'],['Instant'],,[]
"Adamaro, First to Desire",['R'],['Creature'],0.02,[]
Adanto Vanguard,['W'],['Creature'],0.03,[]
Adaptive Automaton,['C'],"['Artifact', 'Creature']",,[]
Adaptive Gemguard,['W'],"['Artifact', 'Creature']",0.03,[]
Adaptive Omnitool,['C'],['Artifact'],1.79,[]
Adaptive Shimmerer,['C'],['Creature'],0.03,[]
Adaptive Snapjaw,['G'],['Creature'],0.03,[]
Adaptive Sporesinger,['G'],['Creature'],0.03,[]
Adarkar Sentinel,['C'],"['Artifact', 'Creature']",0.06,[]
Adarkar Unicorn,['W'],['Creature'],,[]
Adarkar Valkyrie,['W'],['Creature'],,[]
Adarkar Wastes,['C'],['Land'],0.26,[]
Adarkar Windform,['U'],['Creature'],0.03,[]
Adder-Staff Boggart,['R'],['Creature'],0.03,[]
Addle,['B'],['Sorcery'],0.05,[]
"Adeline, Resplendent Cathar",['W'],['Creature'],0.2,[]
"Adeliz, the Cinder Wind","['R', 'U']",['Creature'],0.03,[]
"Adéwalé, Breaker of Chains","['B', 'U']",['Creature'],0.18,[]
Adherent of Hope,['W'],['Creature'],0.03,[]
Adipose Offspring,['W'],['Creature'],,[]
Admiral Beckett Brass,"['B', 'R', 'U']",['Creature'],0.05,[]
"Admiral Brass, Unsinkable","['B', 'R', 'U']",['Creature'],,[]
Admiral's Order,['U'],['Instant'],0.02,[]
Admonition Angel,['W'],['Creature'],,[]
Adorned Pouncer,['W'],['Creature'],0.02,[]
Adrenaline Jockey,['R'],['Creature'],0.01,[]
Adrestia,['C'],['Artifact'],0.5,[]
"Adriana, Captain of the Guard","['R', 'W']",['Creature'],0.36,[]
Adriana's Valor,['C'],['Conspiracy'],,[]
"Adric, Mathematical Genius",['U'],['Creature'],,[]
"Adrix and Nev, Twincasters","['G', 'U']",['Creature'],4.67,[]
Adult Gold Dragon,"['R', 'W']",['Creature'],0.02,[]
Adun Oakenshield,"['B', 'G', 'R']",['Creature'],0.02,[]
Advance Scout,['W'],['Creature'],0.12,[]
Advanced Hoverguard,['U'],['Creature'],0.04,[]
Advanced Stitchwing,['U'],['Creature'],0.04,[]
Advantageous Proclamation,['C'],['Conspiracy'],,[]
Advent of the Wurm,"['G', 'W']",['Instant'],0.02,[]
Adventure Awaits,['G'],['Sorcery'],0.03,[]
Adventurers' Guildhouse,['C'],['Land'],,[]
Adventuring Gear,['C'],['Artifact'],0.03,[]
Adventurous Impulse,['G'],['Sorcery'],0.03,[]
Adverse Conditions,['C'],['Instant'],0.03,[]
Advice from the Fae,['U'],['Sorcery'],0.03,[]
Advocate of the Beast,['G'],['Creature'],0.04,[]
"Aegar, the Freezing Flame","['R', 'U']",['Creature'],0.03,[]
Aegis Angel,['W'],['Creature'],,[]
Aegis Automaton,['C'],"['Artifact', 'Creature']",0.03,[]
Aegis of Honor,['W'],['Enchantment'],0.03,[]
Aegis of the Gods,['W'],"['Enchantment', 'Creature']",0.02,[]
Aegis of the Heavens,['W'],['Instant'],,[]
Aegis of the Legion,"['R', 'W']",['Artifact'],0.1,[]
Aegis of the Meek,['C'],['Artifact'],,[]
